celebrity_name,picture_number,file_path,brightness,resolution,race,gender,colorfulness
America-Ferrera,1,/workspace/DS4002Project3/DATA/celebrities/America-Ferrera/01.jpg,97.45953608247423,194x260,White-Latina,female,29.0809212268401
America-Ferrera,2,/workspace/DS4002Project3/DATA/celebrities/America-Ferrera/02.jpg,196.03578509119745,260x194,White-Latina,female,27.162743989909174
America-Ferrera,3,/workspace/DS4002Project3/DATA/celebrities/America-Ferrera/03.jpg,101.60465668804942,183x276,White-Latina,female,46.40231476851071
America-Ferrera,4,/workspace/DS4002Project3/DATA/celebrities/America-Ferrera/04.jpg,56.67846747846748,195x259,White-Latina,female,34.706825966960174
America-Ferrera,5,/workspace/DS4002Project3/DATA/celebrities/America-Ferrera/05.jpg,136.61803944890474,171x295,White-Latina,female,76.117812670945
America-Ferrera,6,/workspace/DS4002Project3/DATA/celebrities/America-Ferrera/06.jpg,80.57662446249402,299x168,White-Latina,female,43.11756189037666
America-Ferrera,7,/workspace/DS4002Project3/DATA/celebrities/America-Ferrera/07.jpg,100.25168975837941,201x251,White-Latina,female,56.68981175494609
America-Ferrera,8,/workspace/DS4002Project3/DATA/celebrities/America-Ferrera/08.jpg,124.85805432098765,225x225,White-Latina,female,45.869627383247426
America-Ferrera,9,/workspace/DS4002Project3/DATA/celebrities/America-Ferrera/09.jpg,74.36246398410333,275x183,White-Latina,female,34.3058927625878
America-Ferrera,10,/workspace/DS4002Project3/DATA/celebrities/America-Ferrera/10.jpg,177.45166418281173,275x183,White-Latina,female,70.62121993016461
America-Ferrera,11,/workspace/DS4002Project3/DATA/celebrities/America-Ferrera/11.jpg,107.49628953529901,223x226,White-Latina,female,42.375035324758215
America-Ferrera,12,/workspace/DS4002Project3/DATA/celebrities/America-Ferrera/12.jpg,188.93468455042225,275x183,White-Latina,female,50.70634561747022
America-Ferrera,13,/workspace/DS4002Project3/DATA/celebrities/America-Ferrera/13.jpg,85.96479320473128,204x247,White-Latina,female,37.48173474096189
America-Ferrera,14,/workspace/DS4002Project3/DATA/celebrities/America-Ferrera/14.jpg,78.95781228255035,281x179,White-Latina,female,62.13272611611238
America-Ferrera,15,/workspace/DS4002Project3/DATA/celebrities/America-Ferrera/15.jpg,61.76204699322979,186x270,White-Latina,female,51.47008275364874
America-Ferrera,16,/workspace/DS4002Project3/DATA/celebrities/America-Ferrera/16.jpg,156.42910122164048,191x264,White-Latina,female,32.672541393630596
America-Ferrera,17,/workspace/DS4002Project3/DATA/celebrities/America-Ferrera/17.jpg,129.45531982645386,259x194,White-Latina,female,66.12149164372059
America-Ferrera,18,/workspace/DS4002Project3/DATA/celebrities/America-Ferrera/18.jpg,105.53045018508936,194x259,White-Latina,female,39.9256938176865
America-Ferrera,19,/workspace/DS4002Project3/DATA/celebrities/America-Ferrera/19.jpg,81.30478048003822,194x259,White-Latina,female,38.95857381664689
America-Ferrera,20,/workspace/DS4002Project3/DATA/celebrities/America-Ferrera/20.jpg,158.52728389922896,201x251,White-Latina,female,40.02989691331594
America-Ferrera,21,/workspace/DS4002Project3/DATA/celebrities/America-Ferrera/21.jpg,79.32655737704918,275x183,White-Latina,female,94.32429177959011
America-Ferrera,22,/workspace/DS4002Project3/DATA/celebrities/America-Ferrera/22.jpg,63.14110283159464,183x275,White-Latina,female,32.018619512902944
America-Ferrera,23,/workspace/DS4002Project3/DATA/celebrities/America-Ferrera/23.jpg,74.71471435668157,183x275,White-Latina,female,23.04810618488318
America-Ferrera,24,/workspace/DS4002Project3/DATA/celebrities/America-Ferrera/24.jpg,154.7779124766485,181x278,White-Latina,female,44.87070691942928
America-Ferrera,25,/workspace/DS4002Project3/DATA/celebrities/America-Ferrera/25.jpg,93.08259499316168,201x251,White-Latina,female,44.22872987310828
America-Ferrera,26,/workspace/DS4002Project3/DATA/celebrities/America-Ferrera/26.jpg,92.61852094111117,201x251,White-Latina,female,68.02556277694532
America-Ferrera,27,/workspace/DS4002Project3/DATA/celebrities/America-Ferrera/27.jpg,94.66489816194735,275x183,White-Latina,female,44.150414372155645
America-Ferrera,28,/workspace/DS4002Project3/DATA/celebrities/America-Ferrera/28.jpg,76.64822652757078,275x183,White-Latina,female,43.24693185759833
America-Ferrera,29,/workspace/DS4002Project3/DATA/celebrities/America-Ferrera/29.jpg,139.07107546308245,209x241,White-Latina,female,90.10065835500856
America-Ferrera,30,/workspace/DS4002Project3/DATA/celebrities/America-Ferrera/30.jpg,181.37144446210075,203x248,White-Latina,female,99.68673290233232
America-Ferrera,31,/workspace/DS4002Project3/DATA/celebrities/America-Ferrera/31.jpg,64.91518718065966,281x179,White-Latina,female,25.596824212725924
America-Ferrera,32,/workspace/DS4002Project3/DATA/celebrities/America-Ferrera/32.jpg,132.6693028879507,201x251,White-Latina,female,38.39901217313033
America-Ferrera,33,/workspace/DS4002Project3/DATA/celebrities/America-Ferrera/33.jpg,72.44659711872826,275x183,White-Latina,female,41.06620596226194
America-Ferrera,34,/workspace/DS4002Project3/DATA/celebrities/America-Ferrera/34.jpg,162.0587872272655,299x168,White-Latina,female,92.90450813323835
America-Ferrera,35,/workspace/DS4002Project3/DATA/celebrities/America-Ferrera/35.jpg,155.0169841269841,300x168,White-Latina,female,112.62190069796489
America-Ferrera,36,/workspace/DS4002Project3/DATA/celebrities/America-Ferrera/36.jpg,171.85272098765432,225x225,White-Latina,female,42.256475530292334
America-Ferrera,37,/workspace/DS4002Project3/DATA/celebrities/America-Ferrera/37.jpg,113.34463747421863,191x264,White-Latina,female,44.18049377585422
America-Ferrera,38,/workspace/DS4002Project3/DATA/celebrities/America-Ferrera/38.jpg,105.9525533008979,318x159,White-Latina,female,44.680194813841844
America-Ferrera,39,/workspace/DS4002Project3/DATA/celebrities/America-Ferrera/39.jpg,59.033840039741676,275x183,White-Latina,female,28.283123081955942
America-Ferrera,40,/workspace/DS4002Project3/DATA/celebrities/America-Ferrera/40.jpg,61.76160953800298,275x183,White-Latina,female,39.918794144312756
America-Ferrera,41,/workspace/DS4002Project3/DATA/celebrities/America-Ferrera/41.jpg,188.80294396961062,216x234,White-Latina,female,70.22544936111014
America-Ferrera,42,/workspace/DS4002Project3/DATA/celebrities/America-Ferrera/42.jpg,54.91267857142857,300x168,White-Latina,female,27.986607678786328
America-Ferrera,43,/workspace/DS4002Project3/DATA/celebrities/America-Ferrera/43.jpg,137.58615308641976,225x225,White-Latina,female,37.51776748568891
America-Ferrera,44,/workspace/DS4002Project3/DATA/celebrities/America-Ferrera/44.jpg,80.85382178217822,202x250,White-Latina,female,71.8930062474824
America-Ferrera,45,/workspace/DS4002Project3/DATA/celebrities/America-Ferrera/45.jpg,36.252539682539684,300x168,White-Latina,female,13.996289906314175
America-Ferrera,46,/workspace/DS4002Project3/DATA/celebrities/America-Ferrera/46.jpg,45.159761549925484,275x183,White-Latina,female,76.04569939903016
America-Ferrera,47,/workspace/DS4002Project3/DATA/celebrities/America-Ferrera/47.jpg,120.5596695590158,282x179,White-Latina,female,45.52408751683459
America-Ferrera,48,/workspace/DS4002Project3/DATA/celebrities/America-Ferrera/48.jpg,163.70332221957608,204x247,White-Latina,female,81.3849435903174
America-Ferrera,49,/workspace/DS4002Project3/DATA/celebrities/America-Ferrera/49.jpg,169.06271145961867,259x194,White-Latina,female,58.46859384923965
America-Ferrera,50,/workspace/DS4002Project3/DATA/celebrities/America-Ferrera/50.jpg,189.33637623762377,202x250,White-Latina,female,31.089498977974255
America-Ferrera,51,/workspace/DS4002Project3/DATA/celebrities/America-Ferrera/51.jpg,173.57819444444445,300x168,White-Latina,female,28.749852959884535
America-Ferrera,52,/workspace/DS4002Project3/DATA/celebrities/America-Ferrera/52.jpg,168.5309037037037,225x225,White-Latina,female,43.736354004655865
America-Ferrera,53,/workspace/DS4002Project3/DATA/celebrities/America-Ferrera/53.jpg,85.61184523809524,200x252,White-Latina,female,76.43900241522329
America-Ferrera,54,/workspace/DS4002Project3/DATA/celebrities/America-Ferrera/54.jpg,77.39106545628285,299x168,White-Latina,female,28.666272549485182
America-Ferrera,55,/workspace/DS4002Project3/DATA/celebrities/America-Ferrera/55.jpg,174.8148938271605,225x225,White-Latina,female,41.51971008619091
